2012MA23, 3, MA533, Elective - II
2012MA13, 3, MA533, Elective - II
2012MA10, 3, MA533, Elective - II
2012MA07, 3, MA533, Elective - II
2121MA04, 2, MA533, CREDIT
2121MA09, 2, MA533, CREDIT
2012MA01, 3, MA533, Elective - II
2012MA23, 3, MA533, Elective - II
